Date,NADH,ADH,RFU,RFU_std
20230823,0.1,0,17175.75,16769.5
20230823,0.2,0,17540.5,16769.5
20230823,0.3,0,18250,16769.5
20230823,0.4,0,18759,16769.5
20230823,0.5,0,19613,16769.5
20230823,0.6,0,20027.25,16769.5
20230823,0.7,0,20870.33333,16769.5
20230823,0.8,0,21721.75,16769.5
20230823,0,0.91,26092.33333,16769.5
20230823,0.1,0.91,27321.5,16769.5
20230823,0.2,0.91,28443.5,16769.5
20230823,0.3,0.91,30505,16769.5
20230823,0.4,0.91,33257.66667,16769.5
20230823,0.5,0.91,36477.25,16769.5
20230823,0.6,0.91,39883,16769.5
20230823,0.7,0.91,43573.5,16769.5
20230823,0.8,0.91,47346.5,16769.5
20230823,0,0.455,28607.25,21710.5
20230823,0.1,0.455,29196.75,21710.5
20230823,0.2,0.455,30529.5,21710.5
20230823,0.3,0.455,32327,21710.5
20230823,0.4,0.455,34953.5,21710.5
20230823,0.5,0.455,37856.75,21710.5
20230823,0.6,0.455,40460,21710.5
20230823,0.7,0.455,42696,21710.5
20230823,0.8,0.455,45126.75,21710.5
20230823,0.9,0.455,45707.33333,21710.5
20230823,1,0.455,47827,21710.5
20230823,1.1,0.455,51265.5,21710.5
20230823,0.1,0,22599,21710.5
20230823,0.2,0,23163,21710.5
20230823,0.3,0,24134.25,21710.5
20230823,0.4,0,25316.75,21710.5
20230823,0.5,0,25700.66667,21710.5
20230823,0.6,0,25966,21710.5
20230823,0.7,0,26533.5,21710.5
20230823,0.8,0,27916.75,21710.5
20230823,0.9,0,28311.25,21710.5
20230823,1,0,28909.75,21710.5
20230823,1.1,0,29785.25,21710.5
20230823,0.1,0,12284.75,11826.5
20230823,0.2,0,12558.5,11826.5
20230823,0.3,0,13052.25,11826.5
20230823,0.4,0,13479.75,11826.5
20230823,0.5,0,14373.25,11826.5
20230823,0.6,0,14845.75,11826.5
20230823,0.7,0,15251.25,11826.5
20230823,0.8,0,16016.25,11826.5
20230823,0.9,0,16015.25,11826.5
20230823,1,0,16388.5,11826.5
20230823,1.1,0,16895,11826.5
20230823,0,1.82,25464,11826.5
20230823,0.1,1.82,25605,11826.5
20230823,0.2,1.82,25898,11826.5
20230823,0.3,1.82,26782.5,11826.5
20230823,0.4,1.82,29444.5,11826.5
20230823,0.5,1.82,31837.5,11826.5
20230823,0.6,1.82,35548.25,11826.5
20230823,0.7,1.82,40008,11826.5
20230823,0.8,1.82,42749.25,11826.5
20230823,0.9,1.82,46767,11826.5
20230823,1,1.82,49946.75,11826.5
20230823,1.1,1.82,53821.25,11826.5
20230823,0,3.64,28793.75,8902.25
20230823,0.1,3.64,28752,8902.25
20230823,0.2,3.64,29248.5,8902.25
20230823,0.3,3.64,30497.75,8902.25
20230823,0.4,3.64,32114,8902.25
20230823,0.5,3.64,34884,8902.25
20230823,0.6,3.64,36023,8902.25
20230823,0.7,3.64,40655.66667,8902.25
20230823,0.8,3.64,43278.33333,8902.25
20230823,0.9,3.64,46317.33333,8902.25
20230823,1,3.64,49357,8902.25
20230823,1.1,3.64,54501.66667,8902.25
20230823,0,7.28,32533.75,6259.666667
20230823,0.1,7.28,33212.75,6259.666667
20230823,0.2,7.28,33375.75,6259.666667
20230823,0.3,7.28,33612.75,6259.666667
20230823,0.4,7.28,34736.75,6259.666667
20230823,0.5,7.28,36227.75,6259.666667
20230823,0.6,7.28,38937.75,6259.666667
20230823,0.7,7.28,41319,6259.666667
20230823,0.8,7.28,44380.66667,6259.666667
20230823,0.9,7.28,46513,6259.666667
20230823,1,7.28,49369.75,6259.666667
20230823,1.1,7.28,51885.5,6259.666667
20230829,0,0.22,4701,4115
20230829,0.1,0.22,4771.5,4115
20230829,0.2,0.22,5155,4115
20230829,0.3,0.22,5322.666667,4115
20230829,0.4,0.22,5618.666667,4115
20230829,0.5,0.22,6206,4115
20230829,0.6,0.22,6473.333333,4115
20230829,0.7,0.22,6932,4115
20230829,0.8,0.22,7277,4115
20230829,0.9,0.22,7533.25,4115
20230829,1,0.22,7912,4115
20230829,1.1,0.22,8349,4115
20230829,0,0.22,13864,12167
20230829,0.2,0.22,14790.5,12167
20230829,0.4,0.22,16462,12167
20230829,0.6,0.22,19169.25,12167
20230829,0.8,0.22,20920,12167
20230829,1,0.22,22833.5,12167
20230829,1.2,0.22,25116,12167
20230829,1.4,0.22,27395.75,12167
20230829,1.6,0.22,31123,12167
20230829,1.8,0.22,30735.5,12167
20230829,2,0.22,32566.25,12167
20230829,2.2,0.22,34165.75,12167
20230829,0,7.8,6245.25,1102
20230829,1,7.8,9678.25,1102
20230829,2,7.8,14669,1102
20230829,3,7.8,19780.25,1102
20230829,4,7.8,24813.75,1102
20230829,5,7.8,29265,1102
20230829,6,7.8,34869,1102
20230829,7,7.8,39513.25,1102
20230829,8,7.8,43217,1102
20230829,9,7.8,46920.66667,1102
20230829,10,7.8,50212.5,1102
20230829,11,7.8,53304.5,1102
20230829,0,7.8,3447,588.25
20230829,4,7.8,14373.25,588.25
20230829,8,7.8,24141,588.25
20230829,12,7.8,31368.25,588.25
20230829,16,7.8,36819.5,588.25
20230829,20,7.8,40992.25,588.25
20230829,24,7.8,44159.75,588.25
20230829,28,7.8,46500.25,588.25
20230829,32,7.8,48647,588.25
20230829,36,7.8,50493.75,588.25
20230829,40,7.8,52045.25,588.25
20230829,44,7.8,53297,588.25
20230829,0,0,3105.5,3105.5
20230829,0,0.78,5270,3105.5
20230829,0,1.56,7154.5,3105.5
20230829,0,3.12,10263.5,3105.5
20230829,0,6.24,16055,3105.5
20230829,0,9.36,22496,3105.5
20230829,0,12.48,27302,3105.5
20230829,0,15.6,32593.5,3105.5
20230830,0,0.22,30447,26948.33333
20230830,0.1,0.22,31317,26948.33333
20230830,0.2,0.22,32972.75,26948.33333
20230830,0.3,0.22,34254,26948.33333
20230830,0.4,0.22,36920,26948.33333
20230830,0.5,0.22,39451,26948.33333
20230830,0.6,0.22,41260.33333,26948.33333
20230830,0.7,0.22,44049,26948.33333
20230830,0.8,0.22,45631.33333,26948.33333
20230830,0.9,0.22,47641.66667,26948.33333
20230830,1,0.22,50637.5,26948.33333
20230830,1.1,0.22,52840.5,26948.33333
20230830,0,0.22,23088.66667,19467
20230830,0.2,0.22,24287,19467
20230830,0.4,0.22,26964.5,19467
20230830,0.6,0.22,30244.75,19467
20230830,0.8,0.22,33637.75,19467
20230830,1,0.22,36973,19467
20230830,1.2,0.22,41871,19467
20230830,1.4,0.22,43435.66667,19467
20230830,1.6,0.22,45823,19467
20230830,1.8,0.22,47851.75,19467
20230830,2,0.22,51402.33333,19467
20230830,2.2,0.22,52975,19467
20230830,0,0.22,15227.75,13279
20230830,0.4,0.22,17371.25,13279
20230830,0.8,0.22,22037.75,13279
20230830,1.2,0.22,26541.25,13279
20230830,1.6,0.22,30530.5,13279
20230830,2,0.22,33547,13279
20230830,2.4,0.22,36833,13279
20230830,2.8,0.22,40000.25,13279
20230830,3.2,0.22,42729.75,13279
20230830,3.6,0.22,45972.75,13279
20230830,4,0.22,48696.75,13279
20230830,4.4,0.22,50551.25,13279
20230823,0,0,8902.25,8902.25
20230823,0.1,0,8968.25,8902.25
20230823,0.2,0,9430.666667,8902.25
20230823,0.3,0,9629.333333,8902.25
20230823,0.4,0,10105,8902.25
20230823,0.5,0,10430,8902.25
20230823,0.6,0,10637.25,8902.25
20230823,0.7,0,10938.5,8902.25
20230823,0.8,0,11308.33333,8902.25
20230823,0.9,0,11712.25,8902.25
20230823,1,0,11893,8902.25
20230823,1.1,0,12234,8902.25
20230823,0,0,6259.666667,6259.666667
20230823,0.1,0,6494,6259.666667
20230823,0.2,0,6638.5,6259.666667
20230823,0.3,0,6896.75,6259.666667
20230823,0.4,0,7141.75,6259.666667
20230823,0.5,0,7267,6259.666667
20230823,0.6,0,7537,6259.666667
20230823,0.7,0,7789,6259.666667
20230823,0.8,0,7966.75,6259.666667
20230823,0.9,0,8204.25,6259.666667
20230823,1,0,8369.666667,6259.666667
20230823,1.1,0,8651,6259.666667
20230829,0,0,4115,4115
20230829,0.1,0,4228.666667,4115
20230829,0.2,0,4323,4115
20230829,0.3,0,4494,4115
20230829,0.4,0,4719.333333,4115
20230829,0.5,0,4810,4115
20230829,0.6,0,4937.1,4115
20230829,0.7,0,5094.5,4115
20230829,0.8,0,5219.25,4115
20230829,0.9,0,5304,4115
20230829,1,0,5446,4115
20230829,1.1,0,5633.5,4115
20230829,0,0,12167,12167
20230829,0.2,0,13023.5,12167
20230829,0.4,0,13420.25,12167
20230829,0.6,0,14379,12167
20230829,0.8,0,15401.5,12167
20230829,1,0,15885.25,12167
20230829,1.2,0,16877.5,12167
20230829,1.4,0,17746.25,12167
20230829,1.6,0,18317,12167
20230829,1.8,0,19199.5,12167
20230829,2,0,19663.66667,12167
20230829,2.2,0,20424,12167
20230829,0,0,1102,1102
20230829,1,0,1491.75,1102
20230829,2,0,1794,1102
20230829,3,0,2263.75,1102
20230829,4,0,2542.25,1102
20230829,5,0,2920.5,1102
20230829,6,0,3365.75,1102
20230829,7,0,3668.5,1102
20230829,8,0,4006.5,1102
20230829,9,0,4364.75,1102
20230829,10,0,4703.75,1102
20230829,11,0,5003.5,1102
20230829,0,0,588.25,588.25
20230829,4,0,1390.25,588.25
20230829,8,0,2128.75,588.25
20230829,12,0,2857.5,588.25
20230829,16,0,3593.5,588.25
20230829,20,0,4339.25,588.25
20230829,24,0,5019,588.25
20230829,28,0,5796.25,588.25
20230829,32,0,6548.25,588.25
20230829,36,0,7144.25,588.25
20230829,40,0,7768.25,588.25
20230829,44,0,8485,588.25
20230830,0,0,26948.33333,26948.33333
20230830,0.1,0,27920.66667,26948.33333
20230830,0.2,0,28470.33333,26948.33333
20230830,0.3,0,29854,26948.33333
20230830,0.4,0,30667.25,26948.33333
20230830,0.5,0,31836.25,26948.33333
20230830,0.6,0,32772,26948.33333
20230830,0.7,0,33481.5,26948.33333
20230830,0.8,0,34045.66667,26948.33333
20230830,0.9,0,35079,26948.33333
20230830,1,0,35832.5,26948.33333
20230830,1.1,0,37159.25,26948.33333
20230830,0,0,19467,19467
20230830,0.2,0,20983.75,19467
20230830,0.4,0,22296.75,19467
20230830,0.6,0,23873.25,19467
20230830,0.8,0,24829.5,19467
20230830,1,0,26237.5,19467
20230830,1.2,0,27841.5,19467
20230830,1.4,0,28769.5,19467
20230830,1.6,0,30264.5,19467
20230830,1.8,0,31447.75,19467
20230830,2,0,32727.25,19467
20230830,2.2,0,33781.33333,19467
20230830,0,0,13279,13279
20230830,0.4,0,15053.25,13279
20230830,0.8,0,16674.33333,13279
20230830,1.2,0,18791.25,13279
20230830,1.6,0,20585,13279
20230830,2,0,22063.25,13279
20230830,2.4,0,23874.25,13279
20230830,2.8,0,25672,13279
20230830,3.2,0,27262.25,13279
20230830,3.6,0,29331.5,13279
20230830,4,0,30773.5,13279
20230830,4.4,0,32295.25,13279
